message_id,message,verdict,scam_type,risk_level,evidence,requested_action,language,category,confidence,source,contains_url,contains_phone,asks_for_otp,asks_for_upi_pin,asks_for_money,impersonates_authority,urgency,processed_message
IND-04705,"Bahut important khabar: No income tax return is required for anyone earning below a certain salary, regardless of other income.",misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.81,synthetic_augmented,0,0,0,0,0,1,MEDIUM,"bahut important khabar: no income tax return is required for anyone earning below a certain salary, regardless of other income."
IND-00526,"Madam, Flood relief collection: donate immediately through this unfamiliar payment link.",scam,CHARITY_SCAM,MEDIUM,Urgent donation request with unverifiable details,DONATE,HINGLISH,Charity,0.91,public_dataset_derived,0,0,0,0,1,0,HIGH,"madam, flood relief collection: donate immediately through this unfamiliar payment link."
IND-02974,Reminder: check your income-tax filing status through the official government tax portal. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Tax,0.95,public_dataset_derived,0,0,0,0,0,1,LOW,reminder: check your income-tax filing status through the official government tax portal. check the official portal for details.
IND-03231,A WhatsApp group promises guaranteed crypto returns and asks members to transfer money. Can this be verified?,suspicious,INVESTMENT_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.84,synthetic_augmented,0,0,0,0,1,0,MEDIUM,a whatsapp group promises guaranteed crypto returns and asks members to transfer money. can this be verified?
IND-03184,A caller claiming to be from my bank asked for an OTP to cancel a transaction. I did not share it.,suspicious,BANK_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.87,synthetic_augmented,0,0,1,0,0,1,MEDIUM,a caller claiming to be from my bank asked for an otp to cancel a transaction. i did not share it.
IND-00266,Your FASTag will be blocked tonight. Recharge ₹500 immediately through this link.,scam,FASTAG_SCAM,HIGH,KYC/recharge/blacklist threat plus payment/link,PAY_OR_UPDATE,ENGLISH,Transport,0.97,synthetic_augmented,0,0,0,0,1,0,CRITICAL,your fastag will be blocked tonight. recharge ₹500 immediately through this link.
IND-02601,Bhai ghar pahunch gaya hoon. Dinner ke baad call karta hoon. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Family,0.97,public_dataset_derived,0,0,0,0,0,0,LOW,bhai ghar pahunch gaya hoon. dinner ke baad call karta hoon. check the official portal for details.
IND-02032,"Aapke account se ₹900 debit hua hai. Agar aapne transaction nahi kiya to official bank app mein check karein. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Banking,0.93,public_dataset_derived,0,0,1,0,1,1,LOW,"aapke account se ₹900 debit hua hai. agar aapne transaction nahi kiya to official bank app mein check karein. for security, never share otp ."
IND-01022,"Madam, CBI officer here. A money laundering case is registered against your Aadhaar. Transfer ₹20,000 for verification.",scam,POLICE_IMPERSONATION,CRITICAL,Threat of arrest/case; demands money,PAY_OR_TRANSFER,HINGLISH,Law enforcement,0.94,public_dataset_derived,0,0,0,0,1,1,HIGH,"madam, cbi officer here. a money laundering case is registered against your aadhaar. transfer ₹20,000 for verification."
IND-03311,Kripya check karein: I received a message saying I have an income-tax refund and it contains a link. I haven't checked the official portal.,suspicious,TAX_REFUND_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.71,synthetic_augmented,0,0,0,0,0,0,MEDIUM,kripya check karein: i received a message saying i have an income-tax refund and it contains a link. i haven't checked the official portal.
IND-00034,"Turant check karein: Limited investment opportunity: zero risk and guaranteed profit. Send ₹5,000 today to activate your account.",scam,INVESTMENT_SCAM,HIGH,Guaranteed/high returns; asks for transfer,TRANSFER_MONEY,HINDI_ROMAN,Investment,0.89,public_dataset_derived,0,0,0,0,1,0,CRITICAL,"turant check karein: limited investment opportunity: zero risk and guaranteed profit. send ₹5,000 today to activate your account."
IND-00850,"Madam, You have been shortlisted for a government job. Pay ₹1,000 registration fee to receive your appointment letter.",scam,RECRUITMENT_SCAM,HIGH,Fake recruitment with registration fee,PAY_FEE,HINGLISH,Employment,0.89,synthetic_augmented,0,0,0,0,1,1,CRITICAL,"madam, you have been shortlisted for a government job. pay ₹1,000 registration fee to receive your appointment letter."
IND-02568,"Security reminder: bank staff will never ask for your OTP, UPI PIN, CVV or password. Check the official portal for details.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.9,public_dataset_derived,0,0,1,1,0,1,LOW,"security reminder: bank staff will never ask for your otp , upi pin, cvv or password. check the official portal for details."
IND-00023,Your account needs urgent verification. Login at http://account-check.example before midnight.,scam,PHISHING,HIGH,Suspicious link requesting credentials/payment,CLICK_LINK,ENGLISH,Phishing,0.95,synthetic_augmented,1,0,0,0,0,0,CRITICAL,your account needs urgent verification. login at URLTOKEN before midnight.
IND-03221,Mujhe ek message mila hai: Someone claiming to be police contacted me on WhatsApp and demanded money. I am checking whether it is legitimate.,suspicious,POLICE_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.74,synthetic_augmented,0,0,0,0,0,1,MEDIUM,mujhe ek message mila hai: someone claiming to be police contacted me on whatsapp and demanded money. i am checking whether it is legitimate.
IND-00072,Urgent hai: Police notice: your SIM is involved in fraud. Do not tell anyone. Pay the settlement amount immediately.,scam,POLICE_IMPERSONATION,CRITICAL,Threat of arrest/case; demands money,PAY_OR_TRANSFER,HINGLISH,Law enforcement,0.99,public_dataset_derived,0,0,0,0,1,1,HIGH,urgent hai: police notice: your sim is involved in fraud. do not tell anyone. pay the settlement amount immediately.
IND-00797,Your ₹5 lakh loan is approved. Send ₹999 insurance charges to release the amount today.,scam,LOAN_SCAM,HIGH,Loan promise with advance processing fee,PAY_FEE,ENGLISH,Loans,0.96,synthetic_augmented,0,0,0,0,1,0,HIGH,your ₹5 lakh loan is approved. send ₹999 insurance charges to release the amount today.
IND-01025,"Bhai, Refund pending. To receive ₹1,499, enter your UPI PIN on the link http://refund-check.example.",scam,UPI_FRAUD,HIGH,Requests UPI PIN/payment; urgency,PAY_OR_SHARE_UPI,HINGLISH,UPI,0.99,public_dataset_derived,1,0,0,1,1,0,CRITICAL,"bhai, refund pending. to receive ₹1,499, enter your upi pin on the link URLTOKEN"
IND-03830,A parcel-fee message came from an unknown number and asks for ₹499 through a link. Is it genuine?,suspicious,COURIER_FRAUD,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.87,synthetic_augmented,0,0,0,0,1,0,HIGH,a parcel-fee message came from an unknown number and asks for ₹499 through a link. is it genuine?
IND-03606,Kripya check karein: A WhatsApp group promises guaranteed crypto returns and asks members to transfer money. Can this be verified?,suspicious,INVESTMENT_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.78,synthetic_augmented,0,0,0,0,1,0,HIGH,kripya check karein: a whatsapp group promises guaranteed crypto returns and asks members to transfer money. can this be verified?
IND-04746,The government has announced 5 lakh permanent jobs for anyone who forwards this message.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,ENGLISH,MISINFORMATION,0.84,synthetic_augmented,0,0,0,0,0,1,HIGH,the government has announced 5 lakh permanent jobs for anyone who forwards this message.
IND-04573,Bahut important khabar: UPI PIN is required to receive money. Share your PIN with the sender.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.88,synthetic_augmented,0,0,0,1,0,0,MEDIUM,bahut important khabar: upi pin is required to receive money. share your pin with the sender.
IND-02105,"Bhai tera parcel aa gaya hai, main reception pe rakh raha hoon. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Delivery,0.92,public_dataset_derived,0,0,1,0,0,0,LOW,"bhai tera parcel aa gaya hai, main reception pe rakh raha hoon. for security, never share otp ."
IND-01717,"Your electricity bill of ₹1,850 is due on 25 August. Pay through the official electricity provider app or website. Check the official portal for details.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Utilities,0.91,public_dataset_derived,0,0,0,0,1,0,LOW,"your electricity bill of ₹1,850 is due on 25 august. pay through the official electricity provider app or website. check the official portal for details."
IND-00290,"Police video verification required. Stay on the call and transfer ₹25,000 to prove your account is clean.",scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,ENGLISH,Law enforcement,0.9,public_dataset_derived,0,0,0,0,1,1,CRITICAL,"police video verification required. stay on the call and transfer ₹25,000 to prove your account is clean."
IND-02854,Your UPI refund of ₹499 has been processed. Check your bank statement or official app for confirmation.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,UPI,0.95,public_dataset_derived,0,0,0,0,1,1,LOW,your upi refund of ₹499 has been processed. check your bank statement or official app for confirmation.
IND-02389,"Transaction alert: ₹2,450 was debited from your account. If you did not make this transaction, use the official bank app to report it. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.92,public_dataset_derived,0,0,1,0,1,1,LOW,"transaction alert: ₹2,450 was debited from your account. if you did not make this transaction, use the official bank app to report it. for security, never share otp ."
IND-04606,UPI PIN is required to receive money. Share your PIN with the sender.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,ENGLISH,MISINFORMATION,0.83,synthetic_augmented,0,0,0,1,0,0,HIGH,upi pin is required to receive money. share your pin with the sender.
IND-02793,"Your electricity bill of ₹1,850 is due on 25 August. Pay through the official electricity provider app or website. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Utilities,0.96,public_dataset_derived,0,0,1,0,1,0,LOW,"your electricity bill of ₹1,850 is due on 25 august. pay through the official electricity provider app or website. for security, never share otp ."
IND-01184,"Urgent hai: Supreme Court cyber team here. You are under digital arrest due to money laundering. Transfer ₹50,000 for verification.",scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,HINGLISH,Law enforcement,0.88,synthetic_augmented,0,0,0,0,1,1,HIGH,"urgent hai: supreme court cyber team here. you are under digital arrest due to money laundering. transfer ₹50,000 for verification."
IND-02663,"Your OTP is 482913. Do not share this OTP with anyone. If you did not request it, contact your bank through the official app. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.91,public_dataset_derived,0,0,1,0,0,1,LOW,"your otp is 482913. do not share this otp with anyone. if you did not request it, contact your bank through the official app. for security, never share otp ."
IND-03393,I received a message saying I have an income-tax refund and it contains a link. I haven't checked the official portal.,suspicious,TAX_REFUND_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.89,synthetic_augmented,0,0,0,0,0,0,MEDIUM,i received a message saying i have an income-tax refund and it contains a link. i haven't checked the official portal.
IND-01936,"Transaction alert: ₹2,450 was debited from your account. If you did not make this transaction, use the official bank app to report it. Please verify through the official app.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.96,public_dataset_derived,0,0,0,0,1,1,LOW,"transaction alert: ₹2,450 was debited from your account. if you did not make this transaction, use the official bank app to report it. please verify through the official app."
IND-00604,Turant check karein: Your verification OTP has been generated. Send the OTP here so we can stop the unauthorized transaction.,scam,OTP_THEFT,HIGH,Requests one-time password; suspicious verification,SHARE_OTP,HINDI_ROMAN,Banking,0.91,public_dataset_derived,0,0,1,0,0,0,HIGH,turant check karein: your verification otp has been generated. send the otp here so we can stop the unauthorized transaction.
